question_id,option_id,option_label,is_missing
2025-148_q10,1,Strongly disagree,false
2025-148_q10,2,Slightly disagree,false
2025-148_q10,3,Neutral,false
2025-148_q10,4,Slightly agree,false
2025-148_q10,5,Strongly agree,false
2025-148_q100,1,Completely confident,false
2025-148_q100,2,Fairly confident,false
2025-148_q100,3,Somewhat confident,false
2025-148_q100,4,Slightly confident,false
2025-148_q100,5,Not confident at all,false
2025-148_q101,1,Greatly detracted,false
2025-148_q101,2,Somewhat detracted,false
2025-148_q101,3,Neither detracted or enhanced,false
2025-148_q101,4,Somewhat enhanced,false
2025-148_q101,5,Greatly enhanced,false
2025-148_q101,6,I don't watch sports,false
2025-148_q102,1,Yes,false
2025-148_q102,2,No,false
2025-148_q102,3,Prefer not to answer,false
2025-148_q103,1,0 Days a Week/I do not play video games,false
2025-148_q103,2,1-2 Days a Week,false
2025-148_q103,3,3-4 Days a Week,false
2025-148_q103,4,5-6 Days a Week,false
2025-148_q103,5,7 Days a Week/Every Day,false
2025-148_q104,1,"Yes, I already use a blood glucose monitor",false
2025-148_q104,2,"Yes, within the next 3 months",false
2025-148_q104,3,"Yes, within the next 6 months",false
2025-148_q104,4,"Maybe, I need to understand more about blood glucose monitors",false
2025-148_q104,5,"No, not at this time",false
2025-148_q105,1,Always,false
2025-148_q105,2,Often,false
2025-148_q105,3,Sometimes,false
2025-148_q105,4,Rarely,false
2025-148_q105,5,Never,false
2025-148_q106,1,No,false
2025-148_q106,2,Yes,false
2025-148_q106,3,I don't know,false
2025-148_q107,1,Definitely yes,false
2025-148_q107,2,Probably yes,false
2025-148_q107,3,Not sure,false
2025-148_q107,4,Probably not,false
2025-148_q107,5,Definitely not,false
2025-148_q108,1,Yes,false
2025-148_q108,2,No,false
2025-148_q108,3,I don't know,false
2025-148_q109,1,A great deal,false
2025-148_q109,2,Somewhat,false
2025-148_q109,3,Not much,false
2025-148_q109,4,Not at all,false
2025-148_q109,5,Not sure,false
2025-148_q11,1,Very much,false
2025-148_q11,2,Somewhat,false
2025-148_q11,3,Neutral,false
2025-148_q11,4,Not so much,false
2025-148_q11,5,Not at all,false
2025-148_q110,1,Medicaid,false
2025-148_q110,2,Military / Veterans Insurance,false
2025-148_q110,3,Private Insurance - through employeer,false
2025-148_q110,4,Private Insurance - self purchased,false
2025-148_q110,5,Medicare,false
2025-148_q110,6,I don't have health insurance currently,false
2025-148_q110,7,Other,false
2025-148_q111,1,It is a wonderful institution of higher education.,false
2025-148_q111,2,I don't have an opinion on Harvard University.,false
2025-148_q111,3,I am not in support of Harvard University.,false
2025-148_q112,1,Yes,false
2025-148_q112,2,No,false
2025-148_q112,3,Prefer not to say,false
2025-148_q113,1,Over reliance on AI: I believe that they will become dependent on AI.,false
2025-148_q113,2,Reducing their potential: I believe that they will learn less if AI is being used.,false
2025-148_q113,3,Environmental damage: I believe that the damage to the environment when using AI is greater than the reward surrounding,false
2025-148_q113,4,Accuracy concerns: I believe that AI has limitations and can provide inaccurate results,false
2025-148_q113,5,Teacher career: I believe that the careers of teachers can be at-risk if AI is used in education.,false
2025-148_q113,6,Policy concerns: I have concerns regarding the policies surrounding AI use in education,false
2025-148_q113,7,Lack of knowledge on the topic: I believe that I do not have enough information on the topic,false
2025-148_q114,1,"I'm pretty healthy, don't need to worry.",false
2025-148_q114,2,I don't want to spend money on preventive health.,false
2025-148_q114,3,I can't afford my healthcare expenses.,false
2025-148_q114,4,I don't know where to begin.,false
2025-148_q114,5,Other,false
2025-148_q115,1,Less than 1 hour,false
2025-148_q115,2,1-2 hours,false
2025-148_q115,3,3-4 hours,false
2025-148_q115,4,5-6 hours,false
2025-148_q115,5,7-8 hours,false
2025-148_q115,6,9-10 hours,false
2025-148_q115,7,11 or more hours,false
2025-148_q116,1,"Yes, I have bathroom habits that interfere with my daily activities",false
2025-148_q116,2,"No, I do not have bathroom needs that get in the way of my daily activities",false
2025-148_q116,3,I prefer not to respond,false
2025-148_q117,1,I don't buy food from dollar stores,false
2025-148_q117,2,"I typically go to dollar store to buy non-food items, and I pick up some food while I'm here",false
2025-148_q117,3,Dollar store has better deals,false
2025-148_q117,4,The package size is more appropriate for my needs,false
2025-148_q117,5,I need some food items quickly and dollar store is convenient,false
2025-148_q117,6,Dollar store is my go-to destination for groceries,false
2025-148_q117,7,Other,false
2025-148_q118,1,I do not drink alcohol and did not participate in Dry January,false
2025-148_q118,2,I drink alcohol and I did not participate in Dry January,false
2025-148_q118,3,I tried to participate in Dry January but ended up drinking alcohol that month,false
2025-148_q118,4,I successfully participated in Dry January and did not drink alcohol that month,false
2025-148_q119,1,"Yes, currently in college and food insecure",false
2025-148_q119,2,"Yes, was food insecure while a college student",false
2025-148_q119,3,"No, currently in college and not food insecure",false
2025-148_q119,4,"No, attended college but was never food insecure",false
2025-148_q119,5,"No, never attended college",false
2025-148_q12,1,Toothbrush,false
2025-148_q12,2,Toothpaste,false
2025-148_q12,3,Floss,false
2025-148_q12,4,None of the above,false
2025-148_q120,1,Yes,false
2025-148_q120,2,No,false
2025-148_q121,1,Give permission each time before AI is used,false
2025-148_q121,2,"Be notified each that AI is used, but do not need to give permission",false
